r_err	mag	sus	N	T	h	gamma	n	filetered error
132.1616409	0.635385455	0.596285324	100	1.88	0	2.355	100	132.1616409
131.5322401	0.694407273	0.51779854	100	0.968	0	2.145	100	131.5322401
130.4267862	0.662378182	0.561255144	100	1.304	0	2.28	100	130.4267862
130.2586614	0.010183636	0.999896294	100	4.568	0	2.18	100	130.2586614
129.1819205	0.040372727	0.998370043	100	5	0	2.07	100	129.1819205
129.179538	0.616549091	0.619867218	100	1.976	0	2.22	100	129.179538
127.5057987	0.007769091	0.999939641	100	4.76	0	2.055	100	127.5057987
127.4252117	0.494114545	0.755850816	100	3.464	0	2.165	100	127.4252117
127.2677224	0.000901818	0.999999187	100	3.8	0	2.4	100	127.2677224
126.3560306	0.493803636	0.756157969	100	2.696	0	2.13	100	126.3560306
